 #	x	F(x)
 0.8228228  0.9442918
 0.8238238  0.9440883
 0.8248248  0.9438842
 0.8258258  0.9436796
 0.8268268  0.9434746
 0.8278278  0.9432690
 0.8288288  0.9430630
 0.8298298  0.9428565
 0.8308308  0.9426494
 0.8318318  0.9424419
 0.8328328  0.9422338
 0.8338338  0.9420253
 0.8348348  0.9418163
 0.8358358  0.9416067
 0.8368368  0.9413967
 0.8378378  0.9411861
 0.8388388  0.9409751
 0.8398398  0.9407635
 0.8408408  0.9405514
 0.8418418  0.9403389
 0.8428428  0.9401258
 0.8438438  0.9399122
 0.8448448  0.9396981
 0.8458458  0.9394835
 0.8468468  0.9392684
 0.8478478  0.9390528
 0.8488488  0.9388367
 0.8498498  0.9386200
 0.8508509  0.9384029
 0.8518519  0.9381852
 0.8528529  0.9379671
 0.8538539  0.9377484
 0.8548549  0.9375292
 0.8558559  0.9373095
 0.8568569  0.9370893
 0.8578579  0.9368685
 0.8588589  0.9366473
 0.8598599  0.9364255
 0.8608609  0.9362032
 0.8618619  0.9359804
 0.8628629  0.9357571
 0.8638639  0.9355332
 0.8648649  0.9353089
 0.8658659  0.9350840
 0.8668669  0.9348586
 0.8678679  0.9346327
 0.8688689  0.9344062
 0.8698699  0.9341792
 0.8708709  0.9339518
 0.8718719  0.9337237
 0.8728729  0.9334952
 0.8738739  0.9332661
 0.8748749  0.9330365
 0.8758759  0.9328064
 0.8768769  0.9325758
 0.8778779  0.9323446
 0.8788789  0.9321129
 0.8798799  0.9318807
 0.8808809  0.9316479
 0.8818819  0.9314147
 0.8828829  0.9311809
 0.8838839  0.9309465
 0.8848849  0.9307116
 0.8858859  0.9304762
 0.8868869  0.9302403
 0.8878879  0.9300038
 0.8888889  0.9297668
 0.8898899  0.9295293
 0.8908909  0.9292912
 0.8918919  0.9290526
 0.8928929  0.9288134
 0.8938939  0.9285737
 0.8948949  0.9283335
 0.8958959  0.9280928
 0.8968969  0.9278515
 0.8978979  0.9276096
 0.8988989  0.9273672
 0.8998999  0.9271243
 0.9009009  0.9268809
 0.9019019  0.9266369
 0.9029029  0.9263923
 0.9039039  0.9261472
 0.9049049  0.9259016
 0.9059059  0.9256554
 0.9069069  0.9254087
 0.9079079  0.9251614
 0.9089089  0.9249136
 0.9099099  0.9246653
 0.9109109  0.9244164
 0.9119119  0.9241669
 0.9129129  0.9239169
 0.9139139  0.9236664
 0.9149149  0.9234153
 0.9159159  0.9231636
 0.9169169  0.9229114
 0.9179179  0.9226587
 0.9189189  0.9224054
 0.9199199  0.9221515
 0.9209209  0.9218971
 0.9219219  0.9216422
 0.9229229  0.9213867
 0.9239239  0.9211306
 0.9249249  0.9208740
 0.9259259  0.9206168
 0.9269269  0.9203590
 0.9279279  0.9201007
 0.9289289  0.9198419
 0.9299299  0.9195825
 0.9309309  0.9193225
 0.9319319  0.9190620
 0.9329329  0.9188009
 0.9339339  0.9185392
 0.9349349  0.9182770
 0.9359359  0.9180143
 0.9369369  0.9177509
 0.9379379  0.9174870
 0.9389389  0.9172225
 0.9399399  0.9169575
 0.9409409  0.9166919
 0.9419419  0.9164258
 0.9429429  0.9161590
 0.9439439  0.9158917
 0.9449449  0.9156239
 0.9459459  0.9153555
 0.9469469  0.9150865
 0.9479479  0.9148169
 0.9489489  0.9145468
 0.9499499  0.9142761
 0.9509510  0.9140048
 0.9519520  0.9137329
 0.9529530  0.9134605
 0.9539540  0.9131875
 0.9549550  0.9129139
 0.9559560  0.9126398
 0.9569570  0.9123651
 0.9579580  0.9120898
 0.9589590  0.9118139
 0.9599600  0.9115375
 0.9609610  0.9112604
 0.9619620  0.9109828
 0.9629630  0.9107047
 0.9639640  0.9104259
 0.9649650  0.9101466
 0.9659660  0.9098667
 0.9669670  0.9095862
 0.9679680  0.9093051
 0.9689690  0.9090234
 0.9699700  0.9087412
 0.9709710  0.9084583
 0.9719720  0.9081749
 0.9729730  0.9078909
 0.9739740  0.9076064
 0.9749750  0.9073212
 0.9759760  0.9070354
 0.9769770  0.9067491
 0.9779780  0.9064622
 0.9789790  0.9061747
 0.9799800  0.9058866
 0.9809810  0.9055979
 0.9819820  0.9053086
 0.9829830  0.9050187
 0.9839840  0.9047283
 0.9849850  0.9044372
 0.9859860  0.9041456
 0.9869870  0.9038533
 0.9879880  0.9035605
 0.9889890  0.9032671
 0.9899900  0.9029730
 0.9909910  0.9026784
 0.9919920  0.9023832
 0.9929930  0.9020874
 0.9939940  0.9017910
 0.9949950  0.9014940
 0.9959960  0.9011964
 0.9969970  0.9008982
 0.9979980  0.9005994
 0.9989990  0.9003000
 1.0000000  0.9000000
